"","x"
"161",0.065955659
"162",0.316446695
"163",0.162425089
"164",0.028389887
"165",2.497179163
"166",0.181928121
"167",0.307022723
"168",0.72900488
"169",0.185898292
"170",0.413105082
"171",0.208479976
"172",0.721736378
"173",0.360787752
"174",0.538420111
"175",0.20586848
"176",0.41939147
"177",0.226290334
"178",0.187468162
"179",0.227046817
"180",0.078565075
"181",0.158923833
"182",0.080950577
"183",0.246203786
"184",0.400251959
"185",0.273295909
"186",0.094042871
"187",0.209162038
"188",0.240227674
"189",0.342420781
"190",0.036551514
"191",0.374245735
"192",0.241389188
"193",0.109953336
"194",0.21531093
"195",0.703040803
"196",0.676494057
"197",0.311186453
"198",0.35799404
"199",0.26039782
"200",0.421782485
"201",0.473440012
"202",0.531949088
"203",0.614931889
"204",0.209517487
"205",0.66659047
"206",0.068286195
"207",0.250690144
"208",0.182030243
"209",0.093987907
"210",0.234274253
"211",0.417740973
"212",0.211645114
"213",0.179981025
"214",0.306705931
"215",1.727374688
"216",0.207066328
"217",0.114288146
"218",0.624865143
"219",0.936832157
"220",0.265565352
"221",0.485321644
"222",0.219186234
"223",0.744276622
"224",0.113904054
"225",0.493713364
"226",0.230860131
"227",0.116471501
"228",0.618561691
"229",0.98882708
"230",0.77644884
"231",0.533937131
"232",0.515548796
"233",0.42621352
"234",0.279293667
"235",0.288976656
"236",0.117787845
"237",0.173376213
"238",1.088863135
"239",0.280658976
"240",0.151905157
"241",0.34669966
"242",0.477611223
"243",0.423454649
"244",1.308902186
"245",0.047052587
"246",1.280123391
"247",0.04735728
"248",0.185302304
"249",0.468515684
"250",0.475037287
"251",0.935460192
"252",0.098430181
"253",0.142516898
"254",0.255790438
"255",0.497677542
"256",0.933489727
"257",0.16725392
"258",0.80305154
"259",0.451202804
"260",0.095543751
"261",1.882882239
"262",0.959072796
"263",0.077576225
"264",0.117706933
"265",0.314567001
"266",0.226267309
"267",0.257311525
"268",1.750727565
"269",0.214860732
"270",0.279814096
"271",0.19051102
"272",0.417436409
"273",0.469819854
"274",0.073156612
"275",0.614750955
"276",0.126259867
"277",0.562918331
"278",0.37464229
"279",0.628219115
"280",0.061655926
"281",1.012724846
"282",0.450909258
"283",0.286500888
"284",0.202189222
"285",0.234648205
"286",0.221376811
"287",0.61670331
"288",0.457374541
"289",0.101649189
"290",0.749099415
"291",0.186065464
"292",0.24163084
"293",0.135405855
"294",0.402686863
"295",0.575400935
"296",0.254885698
"297",0.185038063
"298",0.887311313
"299",0.196149953
"300",0.293692959
"301",1.406235739
"302",0.914769709
"303",1.093838234
"304",0.294883738
"305",0.075713868
"306",0.48705613
"307",0.688323924
"308",0.09291765
"309",0.352842741
"310",0.191377796
"311",0.2451678
"312",0.557345778
"313",0.084696389
"314",1.486023121
"315",0.336131295
"316",0.364963177
"317",0.441971804
"318",1.225513523
"319",0.253081043
"320",0.064540366
"321",2.375263781
"322",0.285151443
"323",0.281974366
"324",0.256075416
"325",0.515889128
"326",0.453717067
"327",0.471473046
"328",0.908903149
"329",0.204179029
"330",0.467512197
"331",0.357116883
"332",0.706106236
"333",0.278290883
"334",0.718191551
"335",0.317803213
"336",0.723645736
"337",0.152303209
"338",0.358609529
"339",0.122390112
"340",0.45713902
"341",0.219768195
"342",0.201929249
"343",0.296823483
"344",0.223024615
"345",0.440310033
"346",0.24619339
"347",0.539339778
"348",0.595935797
"349",0.162298949
"350",0.408114908
"351",0.373095536
"352",0.325501871
"353",0.477243914
"354",0.150014227
"355",0.292323674
"356",0.622000222
"357",0.312776825
"358",0.378549975
"359",0.268812596
"360",0.296249107
"361",0.6466193
"362",0.083587583
"363",0.683133121
"364",0.747756322
"365",0.754106843
"366",0.08860124
"367",0.863223995
"368",0.674681158
"369",0.870544255
"370",0.409635483
"371",0.056093533
"372",0.332991311
"373",0.554445519
"374",0.254865796
"375",0.676809177
"376",0.065858867
"377",1.882709548
"378",0.186359767
"379",0.850969716
"380",0.942945367
"381",0.079199884
"382",0.104880006
"383",0.408359671
"384",0.452487396
"385",0.751857327
"386",0.401120551
"387",0.070971597
"388",0.197797533
"389",0.28916673
"390",0.241050648
"391",0.150775661
"392",0.238131762
"393",0.34550013
"394",0.250349042
"395",0.570906863
"396",0.3992527
"397",0.613671292
"398",0.205435533
"399",1.260160254
"400",0.66827074
"401",0.199285416
"402",0.229360948
"403",0.408384283
"404",0.370080436
"405",1.941299118
"406",0.547820249
"407",0.249267347
"408",0.238323511
"409",0.180863721
"410",0.617649547
"411",0.606559592
"412",0.510686448
"413",0.340261636
"414",0.047517101
"415",0.033624172
"416",0.283498252
"417",0.11856998
"418",0.338428181
"419",0.333189077
"420",0.081214731
"421",0.369337486
"422",1.09777396
"423",0.487368584
"424",0.186614813
"425",0.392598068
"426",0.316520567
"427",1.20857415
"428",1.10693086
"429",0.859886392
"430",0.534034946
"431",0.249238479
"432",0.191562014
"433",0.688450251
"434",2.798277975
"435",0.168296217
"436",0.201620965
"437",0.071587386
"438",0.027715267
"439",0.289353459
"440",0.307648102
"441",0.376811613
"442",0.155873494
"443",0.897087121
"444",0.322030211
"445",0.349182345
"446",0.187541481
"447",0.644105015
"448",0.065751505
"449",0.09332365
"450",0.338257884
"451",0.232847451
"452",0.8503881
"453",0.291927739
