EL_Inf,b,start.Time,Current.Time,Diff.Time,cores
0.566951495,43,03:26.4,14:15.0,10.81098624,64
0.204094571,44,03:26.4,14:22.6,10.9371984,64
1.058651114,45,03:26.4,14:54.6,11.47044086,64
0.2894919,46,03:26.4,14:42.1,11.26238624,64
0.905919071,47,03:26.4,14:29.9,11.05961477,64
0.164761883,48,03:26.4,13:42.2,10.26419019,64
0.518966505,49,03:26.4,13:46.1,10.32849426,64
1.317198975,50,03:26.4,14:12.7,10.77265129,64
0.133601966,51,03:26.4,14:06.3,10.6653368,64
0.872292102,52,03:26.4,14:28.4,11.03446137,64
1.117504289,53,03:26.4,14:44.8,11.30680623,64
0.31338471,54,03:26.4,14:32.9,11.10843464,64
0.454507117,55,03:26.4,15:06.6,11.67022922,64
0.937120796,56,03:26.4,15:23.0,11.94394644,64
0.577886885,57,03:26.4,15:10.2,11.73117102,64
0.230849286,58,03:26.4,14:40.4,11.23356636,64
0.798647315,59,03:26.4,14:49.0,11.37675022,64
0.142532879,60,03:26.4,14:25.2,10.98121397,64
0.929144032,61,03:26.4,14:18.4,10.86759185,64
1.185305767,62,03:26.4,14:25.7,10.98856992,64
0.697216542,63,03:26.4,14:22.3,10.93168799,64
1.46048113,64,13:37.8,16:31.8,2.899949674,64
0.235347115,65,13:42.3,16:36.5,2.903737346,64
0.636227768,66,13:45.1,16:57.0,3.197372667,64
0.468707375,67,13:46.1,16:37.1,2.849764077,64
0.273436699,68,13:49.1,16:48.6,2.992278183,64
0.27463244,69,13:57.4,16:42.5,2.751153143,64
0.106061657,70,14:03.1,16:42.9,2.662614397,64
1.441253436,71,14:06.0,17:11.5,3.091477231,64
0.253903282,72,14:06.4,16:55.8,2.824705044,64
0.082413354,73,14:07.7,16:57.0,2.822148474,64
0.067110685,74,14:10.6,16:52.1,2.691213834,64
0.177129766,75,14:12.8,17:20.9,3.134596773,64
0.353719174,76,14:14.0,16:48.7,2.577427014,64
0.217292786,77,14:14.5,17:05.5,2.849328053,64
0.124421987,78,14:15.0,16:53.7,2.6451889,64
0.100166882,79,14:15.1,16:55.8,2.678712157,64
1.183339918,80,14:16.2,16:51.5,2.587943709,64
0.319284681,81,14:18.5,17:16.7,2.970311264,64
0.132402463,82,14:19.5,16:54.7,2.585818168,64
0.127804436,83,14:21.3,17:10.2,2.814879787,64
1.018592066,84,14:21.6,17:18.4,2.947422914,64
0.237286795,85,14:22.3,17:00.4,2.634646229,64
0.927122233,86,14:22.7,17:20.4,2.961656467,64
1.059835435,87,14:24.1,17:15.9,2.863176394,64
0.089360551,88,14:24.9,17:01.2,2.604800721,64
0.570283623,89,14:25.3,17:10.3,2.749833842,64
1.257297888,90,14:25.4,17:16.3,2.848004317,64
0.236992563,91,14:25.8,17:22.2,2.940019898,64
0.615870146,92,14:26.0,17:21.7,2.928056983,64
0.076519648,93,14:26.2,17:02.5,2.604019455,64
1.053093297,94,14:27.4,17:16.6,2.821267005,64
1.009665343,95,14:27.4,17:38.5,3.184457986,64
1.301647796,96,14:27.7,17:28.8,3.018273958,64
0.175730143,97,14:28.5,17:17.9,2.822697584,64
1.220320776,98,14:30.0,17:25.6,2.926624942,64
0.611293758,99,14:32.9,17:30.4,2.956944307,64
0.249044723,100,14:33.0,17:20.9,2.797883066,64
0.994385801,101,14:35.8,17:19.6,2.729417233,64
0.542381224,102,14:39.0,17:53.9,3.247468114,64
0.806724269,103,14:39.1,17:23.9,2.746382582,64
0.428581841,104,14:39.3,17:20.7,2.689981747,64
0.544938242,105,14:40.5,17:42.4,3.032040528,64
0.321841281,106,14:41.9,17:30.6,2.811282619,64
0.194364527,107,14:42.2,17:36.2,2.900596778,64
0.113120484,108,14:42.8,17:32.4,2.826372143,64
0.119465678,109,14:44.8,17:36.8,2.866409437,64
0.127889663,110,14:48.4,17:40.4,2.867183034,64
0.513049189,111,14:49.0,17:27.7,2.644246006,64
0.310459196,112,14:54.7,17:40.0,2.75573233,64
0.176757715,113,14:57.4,17:45.3,2.797734245,64
0.598481213,114,15:01.2,17:49.8,2.809774709,64
0.289796049,115,15:02.7,17:58.4,2.928303198,64
0.082129062,116,15:02.9,17:46.1,2.719993063,64
0.654269238,117,15:06.0,17:43.2,2.619079463,64
